IMU_Map_Downsample,ave_match,ave_solve,ave_ICP,map_incre,ave_total,icp,construct_H
0.001059,0.003916,0.000757,0.004902,0.003033,0.008994,0.004713,0.000111
0.001008,0.003737,0.000704,0.004283,0.002803,0.008544,0.00447,0.000112
0.001009,0.003673,0.000683,0.00427,0.00185,0.008072,0.004383,0.000115
0.001093,0.004307,0.000689,0.007025,0.002345,0.00867,0.005022,0.000119
0.000994,0.00417,0.000672,0.004321,0.002363,0.008471,0.004868,0.000118
0.001711,0.004132,0.000671,0.004706,0.001599,0.008395,0.004829,0.000119
0.000975,0.004027,0.000662,0.004085,0.001121,0.008079,0.004714,0.000118
0.001011,0.004026,0.000659,0.004757,0.001065,0.007923,0.00471,0.000118
0.001013,0.003986,0.00065,0.004326,0.001031,0.007751,0.00466,0.000116
0.000916,0.003987,0.000643,0.00466,0.001061,0.007639,0.004654,0.000116
0.001071,0.003982,0.000636,0.00457,0.000985,0.007547,0.00464,0.000115
0.001068,0.004006,0.000634,0.004977,0.00107,0.007511,0.004662,0.000114
0.001752,0.003991,0.000628,0.004444,0.001007,0.007488,0.004642,0.000113
0.001048,0.004045,0.000627,0.005435,0.001013,0.007488,0.004694,0.000114
0.001012,0.004099,0.000626,0.00555,0.000942,0.007489,0.004747,0.000113
0.001051,0.004087,0.000626,0.004614,0.000914,0.007432,0.004735,0.000114
0.001054,0.004126,0.000621,0.005396,0.000858,0.007425,0.004769,0.000113
0.001091,0.004177,0.000623,0.005814,0.000977,0.00745,0.004823,0.000114
0.001019,0.004194,0.000622,0.005198,0.000787,0.007427,0.004838,0.000113
0.001001,0.00418,0.00062,0.004545,0.000839,0.007375,0.004822,0.000112
0.001059,0.004162,0.000617,0.004465,0.000857,0.007328,0.004801,0.000112
0.001027,0.004196,0.000619,0.005631,0.000915,0.007339,0.004836,0.000111
0.00109,0.004215,0.000619,0.005368,0.000794,0.007335,0.004856,0.000111
0.001063,0.004208,0.000619,0.00472,0.000849,0.007306,0.004848,0.000112
0.001039,0.004222,0.000617,0.005198,0.000669,0.00729,0.00486,0.000112
0.001013,0.004218,0.000616,0.004819,0.000731,0.007262,0.004855,0.000111
0.001055,0.004199,0.000613,0.004313,0.000751,0.007219,0.004834,0.000111
0.00102,0.004206,0.000612,0.005056,0.000651,0.007202,0.004839,0.000111
0.001033,0.004186,0.000609,0.004252,0.000597,0.007156,0.004817,0.000111
0.001012,0.004174,0.000608,0.00445,0.000794,0.007126,0.004803,0.00011
0.001094,0.004166,0.000608,0.004614,0.000678,0.007102,0.004795,0.00011
0.001084,0.00417,0.000607,0.004967,0.000723,0.007092,0.004798,0.00011
0.001209,0.004186,0.000608,0.005409,0.001083,0.007111,0.004815,0.00011
0.00129,0.004199,0.00061,0.005386,0.001155,0.007132,0.00483,0.00011
0.001322,0.004215,0.000614,0.005598,0.00113,0.007158,0.00485,0.000111
0.001341,0.004225,0.000616,0.005343,0.001529,0.007187,0.004863,0.000112
0.001482,0.004244,0.000621,0.005844,0.0012,0.007223,0.004887,0.000113
0.001546,0.004254,0.000624,0.005466,0.001782,0.007265,0.0049,0.000114
0.001553,0.004306,0.000627,0.007137,0.001318,0.007335,0.004955,0.000114
0.001625,0.004313,0.00063,0.005433,0.001508,0.007366,0.004965,0.000115
0.001573,0.004355,0.000631,0.006834,0.00136,0.007424,0.005009,0.000115
0.001557,0.004365,0.000632,0.005556,0.000994,0.007441,0.00502,0.000115
0.001458,0.00438,0.000633,0.00574,0.000918,0.007456,0.005035,0.000115
0.00142,0.00439,0.000633,0.005543,0.001448,0.007478,0.005045,0.000115
0.001398,0.004401,0.000633,0.00562,0.00089,0.007488,0.005056,0.000115
0.00151,0.004399,0.000632,0.004993,0.00074,0.007482,0.005053,0.000115
0.001544,0.004406,0.000631,0.005478,0.000735,0.007488,0.00506,0.000115
0.001543,0.004387,0.000632,0.004285,0.000727,0.007469,0.005042,0.000115
0.001308,0.004357,0.000628,0.003448,0.000523,0.007424,0.005007,0.000114
0.001471,0.004321,0.000624,0.003088,0.000387,0.007374,0.004968,0.000113
0.001469,0.004281,0.00062,0.002814,0.000597,0.007326,0.004924,0.000112
0.001589,0.004244,0.000617,0.002844,0.001355,0.007296,0.004883,0.000112
0.00166,0.00421,0.000613,0.002952,0.000861,0.007262,0.004845,0.000111
0.00167,0.004229,0.000616,0.006075,0.001448,0.007297,0.004867,0.00011
0.001737,0.004196,0.000612,0.002912,0.000855,0.007265,0.00483,0.00011
0.001741,0.004179,0.000609,0.00376,0.000827,0.007248,0.00481,0.000109
0.001827,0.004161,0.000607,0.003734,0.00093,0.007235,0.00479,0.000108
0.001892,0.004151,0.000605,0.004245,0.000813,0.00723,0.004778,0.000108
0.001839,0.004127,0.000603,0.003268,0.001112,0.007213,0.004751,0.000108
0.001917,0.004127,0.000601,0.004801,0.000671,0.007216,0.00475,0.000108
0.001939,0.004114,0.0006,0.003909,0.000627,0.007203,0.004736,0.000107
0.002141,0.004125,0.000601,0.005505,0.001191,0.00723,0.004747,0.000107
0.002212,0.004143,0.000601,0.006024,0.000765,0.007258,0.004766,0.000107
0.001903,0.004145,0.000603,0.005049,0.000601,0.007263,0.00477,0.000108
0.002989,0.004166,0.000605,0.006378,0.000879,0.007308,0.004793,0.000108
0.00184,0.004186,0.000607,0.006371,0.000814,0.007334,0.004816,0.000108
0.001832,0.004208,0.00061,0.006543,0.00094,0.007364,0.004841,0.000109
0.001893,0.004221,0.000611,0.005833,0.000728,0.00738,0.004855,0.000109
0.001726,0.004236,0.000613,0.006152,0.000859,0.0074,0.004872,0.00011
0.00165,0.004273,0.000615,0.00765,0.001072,0.007442,0.004911,0.00011
0.001506,0.004293,0.000616,0.00643,0.000823,0.007461,0.004932,0.00011
0.001449,0.004308,0.000617,0.006178,0.001043,0.007478,0.004948,0.000111
0.001387,0.00433,0.000617,0.006662,0.000986,0.007499,0.00497,0.000111
0.001455,0.00439,0.000625,0.01012,0.002039,0.007582,0.005039,0.000111
0.001203,0.004435,0.000628,0.008799,0.001562,0.007635,0.005086,0.000112
0.001099,0.00446,0.000628,0.007094,0.00131,0.007659,0.005111,0.000112
0.001033,0.004463,0.000626,0.005199,0.000955,0.007653,0.005112,0.000111
0.001078,0.004464,0.000624,0.005075,0.000964,0.007646,0.00511,0.000111
0.001336,0.004456,0.000622,0.004391,0.00108,0.007636,0.0051,0.000111
0.001361,0.004468,0.00062,0.006084,0.000792,0.007643,0.005112,0.00011
0.00145,0.004487,0.00062,0.006687,0.000852,0.00766,0.00513,0.00011
0.001436,0.004499,0.000619,0.006114,0.00109,0.007672,0.005141,0.00011
0.001658,0.004515,0.00062,0.006598,0.000838,0.007689,0.005158,0.00011
0.001588,0.004526,0.000621,0.006211,0.001075,0.007703,0.005169,0.000111
0.001489,0.004536,0.000621,0.006105,0.000588,0.007709,0.00518,0.000111
0.001645,0.00454,0.000621,0.005671,0.000742,0.007713,0.005184,0.000111
0.001598,0.004547,0.000622,0.005913,0.000606,0.007717,0.005192,0.000111
0.001645,0.004552,0.000622,0.005692,0.000674,0.007721,0.005197,0.000111
0.001413,0.004551,0.000621,0.005126,0.00045,0.007712,0.005195,0.000111
0.001428,0.004554,0.000621,0.00548,0.000433,0.007708,0.005198,0.000111
0.002405,0.004552,0.000621,0.00518,0.000477,0.007712,0.005197,0.000111
0.001712,0.00456,0.000622,0.006049,0.000458,0.007718,0.005205,0.000111
0.001821,0.004565,0.000623,0.005762,0.000622,0.007723,0.00521,0.000111
0.001803,0.004571,0.000624,0.005937,0.000722,0.007731,0.005217,0.000111
0.001881,0.004581,0.000625,0.006459,0.000754,0.007745,0.00523,0.000112
0.001831,0.004586,0.000626,0.005811,0.000706,0.007751,0.005235,0.000112
0.001809,0.004594,0.000626,0.006091,0.000626,0.007759,0.005243,0.000112
0.00194,0.004601,0.000627,0.006145,0.000649,0.007769,0.005252,0.000112
0.001821,0.004608,0.000629,0.006169,0.000794,0.00778,0.00526,0.000113
0.001768,0.004618,0.00063,0.006427,0.000941,0.007793,0.005271,0.000113
0.001712,0.004633,0.000631,0.006955,0.000794,0.00781,0.005287,0.000114
0.001732,0.004639,0.000632,0.006088,0.000873,0.007818,0.005295,0.000114
0.001567,0.004648,0.000632,0.006259,0.001069,0.007829,0.005304,0.000114
0.001472,0.004651,0.000631,0.005585,0.000858,0.00783,0.005306,0.000114
0.00132,0.00465,0.00063,0.005242,0.00067,0.007824,0.005304,0.000113
