IMU_Map_Downsample,ave_match,ave_solve,ave_ICP,map_incre,ave_total,icp,construct_H
0.001043,0.005165,0.000747,0.006133,0.002836,0.010012,0.00594,0.000111
0.000969,0.004742,0.000695,0.005058,0.002568,0.009304,0.005463,0.000109
0.000969,0.004546,0.000665,0.004851,0.00174,0.008723,0.005235,0.000108
0.00102,0.004377,0.000662,0.004623,0.001869,0.00842,0.005062,0.000111
0.000998,0.004222,0.000643,0.004276,0.001644,0.00812,0.004889,0.000108
0.001065,0.004156,0.000637,0.004513,0.001377,0.007925,0.004816,0.000108
0.000931,0.004143,0.000628,0.004734,0.001032,0.00775,0.004794,0.000107
0.00097,0.004195,0.000623,0.005232,0.001012,0.007683,0.004841,0.000107
0.001019,0.004169,0.000616,0.004608,0.000974,0.007563,0.004807,0.000106
0.000992,0.00414,0.000614,0.004586,0.001083,0.007472,0.004777,0.000106
0.001088,0.004176,0.000612,0.005232,0.001045,0.007463,0.004811,0.000106
0.001069,0.00419,0.000611,0.005032,0.001001,0.007433,0.004824,0.000107
0.000963,0.004167,0.000611,0.004586,0.001016,0.007366,0.004801,0.000107
0.000995,0.004207,0.000609,0.0054,0.000899,0.007361,0.004839,0.000107
0.001015,0.004249,0.000608,0.005539,0.000909,0.007367,0.00488,0.000106
0.00103,0.004263,0.000608,0.005185,0.000821,0.007347,0.004894,0.000106
0.00097,0.004273,0.000604,0.005069,0.000974,0.007327,0.0049,0.000105
0.001015,0.004316,0.000604,0.005763,0.000916,0.007347,0.004944,0.000106
0.001041,0.004308,0.000603,0.004846,0.001017,0.007324,0.004933,0.000106
0.000959,0.00429,0.000601,0.004604,0.000753,0.007274,0.004913,0.000105
0.000972,0.004264,0.000597,0.004357,0.000762,0.007217,0.004884,0.000105
0.00096,0.0043,0.000597,0.005739,0.000762,0.007228,0.004919,0.000105
0.000989,0.004281,0.000596,0.004529,0.000719,0.007185,0.004899,0.000106
0.000998,0.004275,0.000596,0.004809,0.000868,0.007164,0.004893,0.000105
